UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	1	1	auditory|speech	#FFF1A9	0.105245028092635
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	2	1		#FFF1A9	0.116800400520061
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	3	1	da|integration	#FEE188	0.253626108410266
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	4	1		#FEE188	0.204867030584087
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	5	1	physical|psychophysical|tactile	#FFF1A9	0.179285403558923
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	6	1		#FFF1A9	0.147330924791064
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	7	1	somatosensory|stimulation	#FFF1A9	0.113428712466023
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	8	1	painful|pain	#FFFFCC	0.0660453055692034
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	9	1		#FFF1A9	0.158311620825315
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	10	1	ratings	#FDAD4A	0.466468095715518
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	11	1	affective|affect	#FD913D	0.57420264687652
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	12	1	emotions	#FC622F	0.652567133286642
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	13	1	expression|expressions|facial	#FD913D	0.59506080169463
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	14	1		#FC622F	0.690842460923333
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	15	1		#FC622F	0.68040803875682
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	16	1	emotion|motion|neutral	#FC622F	0.607586058978211
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	17	1	rating	#FDAD4A	0.483083521832135
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	18	1	negative|positive	#FDAD4A	0.456264519647353
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	19	1		#FECB68	0.399540066063932
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	20	1	ear|order	#FECB68	0.332048153059374
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	21	1	motor	#FFF1A9	0.104423938577229
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	22	1	visual	#FEE188	0.272001136530567
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	23	1	age|image|response	#FECB68	0.302555818564067
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	1	2	sound|sounds	#FFFFCC	0.086870964461249
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	2	2		#FFF1A9	0.107696403240769
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.166432420124086
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	4	2		#FEE188	0.20567004278726
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	5	2		#FFF1A9	0.196138941029255
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	6	2		#FFF1A9	0.158670187965737
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	7	2	sensation	#FFFFCC	0.0260504430932007
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	8	2	heat|noxious	#FFFFCC	0
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	9	2		#FEE188	0.206162652198515
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	10	2		#FD913D	0.517175452517469
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	11	2		#FD913D	0.586485508491829
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	12	2	valence	#FC622F	0.683007584791841
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	13	2	person|social	#FD913D	0.594590161666879
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	14	2		#FC622F	0.692687195738847
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	15	2	face|faces	#FC622F	0.670833154946327
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	16	2		#FC622F	0.635075975411617
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	17	2		#FD913D	0.565567068392797
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	18	2		#FDAD4A	0.453844050513202
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	19	2		#FECB68	0.372079532302113
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	20	2		#FEE188	0.2881196298332
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	21	2	images|spatial	#FECB68	0.339915594788274
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	22	2	control	#FEE188	0.25947005457454
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	23	2	time	#FEE188	0.279291122734622
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0560539190080392
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	2	3	noise|tones	#FFFFCC	0.088898674721807
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	3	3		#FFF1A9	0.151951246232245
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	4	3		#FFF1A9	0.170440900768393
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	5	3	frequency	#FFF1A9	0.170684234348512
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	6	3		#FFF1A9	0.152960525070229
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	7	3		#FFF1A9	0.103611001459393
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	8	3	temperature	#FFF1A9	0.189548531863191
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	9	3		#FEE188	0.21843182120157
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	10	3	pleasant|unpleasant	#FDAD4A	0.478080396943886
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	11	3	anxiety	#FDAD4A	0.499231811885789
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	12	3		#FD913D	0.587664183560345
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	13	3		#FC622F	0.628751089914868
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	14	3		#FC622F	0.677295982884117
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	15	3		#FC622F	0.670411786129554
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	16	3	picture	#FC622F	0.660263391774514
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	17	3		#FD913D	0.552209788629192
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	18	3	value	#FECB68	0.328847413710652
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	19	3	cue	#FEE188	0.291488293169787
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	20	3	error|target	#FFF1A9	0.178402697718608
6595eeea-8e27-3fa2-bf18-69d99d30ab16	Hall GB	21	3	attention	#FEE188	0.234003993375666
